日期	收盘	开盘	高	低	涨跌幅
2009年12月13日	2.4	2.4	2.4	2.4	0.00%
2009年12月6日	2.4	2.4	2.4	2.4	0.00%
2009年11月29日	2.4	2.4	2.4	2.4	-2.44%
2009年11月22日	2.46	2.46	2.46	2.46	1.65%
2009年11月15日	2.42	2.42	2.42	2.42	-1.22%
2009年11月8日	2.45	2.45	2.45	2.45	0.00%
2009年11月1日	2.45	2.45	2.45	2.45	-2.00%
2009年10月25日	2.5	2.5	2.5	2.5	2.04%
2009年10月18日	2.45	2.45	2.45	2.45	0.00%
2009年10月11日	2.45	2.45	2.45	2.45	4.26%
2009年10月4日	2.35	2.35	2.35	2.35	0.00%
2009年9月27日	2.35	2.35	2.35	2.35	4.44%
2009年9月20日	2.25	2.25	2.25	2.25	-1.75%
2009年9月13日	2.29	2.29	2.29	2.29	-2.97%
2009年9月6日	2.36	2.36	2.36	2.36	-3.67%
2009年8月30日	2.45	2.45	2.45	2.45	0.00%
2009年8月23日	2.45	2.45	2.45	2.45	0.00%
2009年8月16日	2.45	2.45	2.45	2.45	0.00%
2009年8月9日	2.45	2.45	2.45	2.45	1.24%
2009年8月2日	2.42	2.42	2.42	2.42	-6.20%
2009年7月26日	2.58	2.58	2.58	2.58	6.17%
2009年7月19日	2.43	2.43	2.43	2.43	8.00%
2009年7月12日	2.25	2.25	2.25	2.25	10.84%
2009年7月5日	2.03	2.03	2.03	2.03	14.04%
2009年6月28日	1.78	1.78	1.78	1.78	0.00%
2009年6月21日	1.78	1.78	1.78	1.78	-3.78%
2009年6月14日	1.85	1.85	1.85	1.85	12.12%
2009年6月7日	1.65	1.65	1.65	1.65	-10.81%
2009年5月31日	1.85	1.85	1.85	1.85	5.71%
2009年5月24日	1.75	1.75	1.75	1.75	8.70%
2009年5月17日	1.61	1.61	1.61	1.61	-8.31%
2009年5月10日	1.756	1.756	1.756	1.756	3.84%
2009年5月3日	1.691	1.691	1.691	1.691	-8.35%
2009年4月26日	1.845	1.845	1.845	1.845	-4.45%
2009年4月19日	1.931	1.931	1.931	1.931	0.10%
2009年4月12日	1.929	1.929	1.929	1.929	12.81%
2009年4月5日	1.71	1.71	1.71	1.71	10.61%
2009年3月29日	1.546	1.546	1.546	1.546	-8.36%
2009年3月22日	1.687	1.687	1.687	1.687	1.63%
2009年3月15日	1.66	1.66	1.66	1.66	0.00%
2009年3月8日	1.66	1.66	1.66	1.66	0.79%
2009年3月1日	1.647	1.647	1.647	1.647	-0.60%
2009年2月22日	1.657	1.657	1.657	1.657	3.95%
2009年2月15日	1.594	1.594	1.594	1.594	-6.07%
2009年2月8日	1.697	1.697	1.697	1.697	0.00%
2009年2月1日	1.697	1.697	1.697	1.697	11.21%
2009年1月25日	1.526	1.526	1.526	1.526	5.83%
2009年1月18日	1.442	1.442	1.442	1.442	4.19%
2009年1月11日	1.384	1.384	1.384	1.384	-1.14%
2009年1月4日	1.4	1.4	1.4	1.4	-1.96%
2008年12月28日	1.428	1.428	1.428	1.428	0.07%
2008年12月21日	1.427	1.427	1.427	1.427	-1.59%
2008年12月14日	1.45	1.45	1.45	1.45	-14.05%
2008年12月7日	1.687	1.687	1.687	1.687	-1.80%
2008年11月30日	1.718	1.718	1.718	1.718	-14.10%
2008年11月23日	2	2	2	2	-14.86%
2008年11月16日	2.349	2.349	2.349	2.349	6.82%
2008年11月9日	2.199	2.199	2.199	2.199	-15.42%
2008年11月2日	2.6	2.6	2.6	2.6	1.56%
2008年10月26日	2.56	2.56	2.56	2.56	-4.51%
2008年10月19日	2.681	2.681	2.681	2.681	-1.47%
2008年10月12日	2.721	2.721	2.721	2.721	-2.96%
2008年10月5日	2.804	2.804	2.804	2.804	-17.04%
2008年9月28日	3.38	3.38	3.38	3.38	1.81%
2008年9月21日	3.32	3.32	3.32	3.32	-2.12%
2008年9月14日	3.392	3.392	3.392	3.392	-3.42%
2008年9月7日	3.512	3.512	3.512	3.512	-2.85%
2008年8月31日	3.615	3.615	3.615	3.615	-3.39%
2008年8月24日	3.742	3.742	3.742	3.742	-2.63%
2008年8月17日	3.843	3.843	3.843	3.843	-1.74%
2008年8月10日	3.911	3.911	3.911	3.911	3.60%
2008年8月3日	3.775	3.775	3.775	3.775	-4.45%
2008年7月27日	3.951	3.951	3.951	3.951	0.48%
2008年7月20日	3.932	3.932	3.932	3.932	-1.72%
2008年7月13日	4.001	4.001	4.001	4.001	-0.10%
2008年7月6日	4.005	4.005	4.005	4.005	0.18%
2008年6月29日	3.998	3.998	3.998	3.998	1.94%
2008年6月22日	3.922	3.922	3.922	3.922	4.03%
2008年6月15日	3.77	3.77	3.77	3.77	-0.82%
2008年6月8日	3.801	3.801	3.801	3.801	2.73%
2008年6月1日	3.7	3.7	3.7	3.7	-0.19%
2008年5月25日	3.707	3.707	3.707	3.707	-0.08%
2008年5月18日	3.71	3.71	3.71	3.71	-1.25%
2008年5月11日	3.757	3.757	3.757	3.757	0.29%
2008年5月4日	3.746	3.746	3.746	3.746	2.80%
2008年4月27日	3.644	3.644	3.644	3.644	-1.65%
2008年4月20日	3.705	3.705	3.705	3.705	2.35%
2008年4月13日	3.62	3.62	3.62	3.62	-2.16%
2008年4月6日	3.7	3.7	3.7	3.7	-0.03%
2008年3月30日	3.701	3.701	3.701	3.701	-0.78%
2008年3月23日	3.73	3.73	3.73	3.73	0.27%
2008年3月16日	3.72	3.72	3.72	3.72	-0.91%
2008年3月9日	3.754	3.754	3.754	3.754	0.11%
2008年3月2日	3.75	3.75	3.75	3.75	1.38%
